year,location,date,time_start,time_end,gradient_number,plot,soil_temp,soil_moist,PAR_below,PAR_above
2020,TB,7/3/20,12:05,1:54,1,1,31.4,2.9,1743,1940
2020,TB,7/3/20,12:05,1:54,1,11,32.3,2.3,1805,1994
2020,TB,7/3/20,12:05,1:54,1,21,30.5,2.2,1692,1955
2020,TB,7/3/20,12:05,1:54,1,31,27,4.1,1773,1994
2020,TB,7/3/20,12:05,1:54,1,41,25.3,2.3,1510,1921
2020,TB,7/3/20,12:05,1:54,2,2,37.5,15.1,1833,1974
2020,TB,7/3/20,12:05,1:54,2,12,37.9,11.6,1872,2005
2020,TB,7/3/20,12:05,1:54,2,22,36.6,17.4,1881,1982
2020,TB,7/3/20,12:05,1:54,2,32,37.2,11.8,1605,2075
2020,TB,7/3/20,12:05,1:54,2,42,36,7.4,1734,1960
2020,TB,7/3/20,12:05,1:54,3,3,34.8,10.2,1892,1972
2020,TB,7/3/20,12:05,1:54,3,13,33.7,6,1863,2009
2020,TB,7/3/20,12:05,1:54,3,23,33.4,3,1767,2008
2020,TB,7/3/20,12:05,1:54,3,33,35.4,13.6,1523,1967
2020,TB,7/3/20,12:05,1:54,3,43,34.3,11.3,1276,1991
2020,TB,7/3/20,12:05,1:54,4,4,38.1,2.4,1941,1986
2020,TB,7/3/20,12:05,1:54,4,14,39.5,3.3,1838,1982
2020,TB,7/3/20,12:05,1:54,4,24,39,2.5,1697,1990
2020,TB,7/3/20,12:05,1:54,4,34,38.3,3.5,1477,2046
2020,TB,7/3/20,12:05,1:54,4,44,38.1,2.9,1453,1973
2020,TB,7/3/20,12:05,1:54,5,5,41,3.5,1917,1983
2020,TB,7/3/20,12:05,1:54,5,15,41.1,3.5,1859,1969
2020,TB,7/3/20,12:05,1:54,5,25,40.9,3.3,1628,1931
2020,TB,7/3/20,12:05,1:54,5,35,40.9,3.6,1260,1908
2020,TB,7/3/20,12:05,1:54,5,45,41.2,3.2,1541,1905
2020,TB,7/3/20,12:05,1:54,6,6,40.6,2.2,1877,1925
2020,TB,7/3/20,12:05,1:54,6,16,41.2,4.9,1757,1929
2020,TB,7/3/20,12:05,1:54,6,26,41,3.3,1862,1940
2020,TB,7/3/20,12:05,1:54,6,36,40.8,3.5,1805,1941
2020,TB,7/3/20,12:05,1:54,6,46,40.7,1.6,1405,1926
2020,TB,7/3/20,12:05,1:54,7,7,40.5,6.2,1928,1971
2020,TB,7/3/20,12:05,1:54,7,17,40.2,5.6,1924,1994
2020,TB,7/3/20,12:05,1:54,7,27,40.2,8.5,1873,1977
2020,TB,7/3/20,12:05,1:54,7,37,40.3,4.6,1895,1982
2020,TB,7/3/20,12:05,1:54,7,47,40.2,4.9,1816,1981
2020,TB,7/3/20,12:05,1:54,8,8,39.3,3.2,1866,1991
2020,TB,7/3/20,12:05,1:54,8,18,39.5,7.4,1866,2009
2020,TB,7/3/20,12:05,1:54,8,28,39.6,3.5,1783,2009
2020,TB,7/3/20,12:05,1:54,8,38,40.6,4.5,1726,1951
2020,TB,7/3/20,12:05,1:54,8,48,40.7,4.3,1443,1952
2020,TB,7/3/20,12:05,1:54,9,9,40.4,2.4,1913,2027
2020,TB,7/3/20,12:05,1:54,9,19,40,4.1,1933,1981
2020,TB,7/3/20,12:05,1:54,9,29,40.3,5.5,1829,1977
2020,TB,7/3/20,12:05,1:54,9,39,39.9,5.2,1373,1991
2020,TB,7/3/20,12:05,1:54,9,49,40.3,2,1602,1948
2020,TB,7/3/20,12:05,1:54,10,10,41.3,2.5,1952,2018
2020,TB,7/3/20,12:05,1:54,10,20,41.3,5.6,1581,2024
2020,TB,7/3/20,12:05,1:54,10,30,39.4,3.6,1839,2022
2020,TB,7/3/20,12:05,1:54,10,40,38.5,5.1,1486,1998
2020,TB,7/3/20,12:05,1:54,10,50,40.9,5,1492,2037
