location,year,date,gradient_number,plot,aerial_basal,est_total,added_total,added_total_excel,cov_other_total,cov_other_total_excel,bare,dung,lichen,litter,moss,rock,ARPU,BOGR,BRAR,BRTE,HECO,KOMA,PASM,VUOC,CADU,CAFI,ARFR,ARTR,COVI,OPPO,ALTE,ALDE,ANPA,CAMI,COUM,COCA,HEHI,LASE,LEDE,LOAR,LOFO,MILI,MUDI,PHHO,PLPA,POAV,PSTE,SPCO,TAOF,TRDU,VIAM,ERHO,ANOC,JUTE_2020
TB,2020,7/2/20,1,1,aerial,32,32.5,27.5,99.5,95,30,0.5,10,20,6,1,,15,,0.25,,5,1,1,4,,,,,,,,,,,,,,,,,,,,0.25,,,1,,,,,,
TB,2020,7/3/20,2,2,aerial,45,45.25,47.25,105,103.25,25,,10,8,3,10,,28,1,,,9,6,,2,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,1,,
TB,2020,7/2/20,3,3,aerial,45,46.5,46.5,104.5,104.5,25,5,6,12,5,5,,35,2,,2,2,3,,0.25,,,,,1,,0.5,,,,,,,,0.5,,,,,0.25,,,,,,,,,
TB,2020,7/2/20,4,4,aerial,50,53.5,53.75,103,107.75,28,8,7,3,4,4,,37,,0.5,,6,3,3,2,,,,,0.5,,0.25,,,,,,,,1,,,,,0.25,,,0.25,,,,,,
TB,2020,7/2/20,5,5,aerial,60,60.75,60.75,102,102.75,28,,2,1,5,6,,40,0.5,0.25,3,10,2,0.25,,1,1,,,,,,0.25,,,,,,,0.25,,,,,0.25,,,,,,,2,,
TB,2020,7/2/20,6,6,aerial,45,48.25,48.25,95,98.25,25,,5,10,8,2,,30,2,0.25,2,4,3,0.25,,4,,2,,,,,,,,,,,,0.25,,,,,0.25,,,0.25,,,,,,
TB,2020,7/2/20,7,7,aerial,48,51.75,51.75,57.25,109,37,0.25,9,9,,2,,28,0.5,,,9,7,0.25,,,2,,,,,1,0.25,,,,,,,0.25,,,,,0.25,,,0.25,,,,3,,
TB,2020,7/2/20,8,8,aerial,50,55,55,103,113,23,6,7,15,7,,,33,3,,,4,7,0.5,1,,,,,6,,0.25,,,,,,,,,,,,,,,,0.25,,,,,,
TB,2020,7/3/20,9,9,aerial,56,55.75,56,108,108,21,8,8,8,7,,,18,4,0.25,,14,7,0.25,,,,0.25,,10,,,,,,,,,,1,,,,,0.25,,,1,,,,,,
TB,2020,7/3/20,10,10,aerial,75,79,79,104,108,18,2,,7,2,,,20,7,,18,10,3,17,1,0.5,,1,,,,,,,,,,,,1,,,,,0.5,,,,,,,,,
TB,2020,7/2/20,1,11,aerial,32,32.5,55,78,101,20,2,5,11,8,,,24,0.25,6,,8,4,2,1,,4,4,,,,,,,,,,,0.25,1,,,,,,0.25,,0.25,,,,,,
TB,2020,7/3/20,2,12,aerial,62,62.75,64.75,105,107.75,8,4,5,15,5,6,,45,2,,,5,10,,,,,,,,,0.25,,,,,,,,0.25,,,,,0.25,,,1,,,,1,,
TB,2020,7/2/20,3,13,aerial,66,65.25,64.75,101.25,100.75,20,,1,15,,,,50,2,,,,5,,1,,,,,6,,,,,,,0.25,,,0.25,,,,,,,,0.25,,,,,,
TB,2020,7/3/20,4,14,aerial,56,56.5,65.25,104.25,113.5,25,,3,8,12,0.25,,25,,9,11,4,1,0.25,,,3,0.25,,1,,,,,2,,,,,0.25,,,,,0.25,,,0.25,,,,8,,
TB,2020,7/2/20,5,15,aerial,59,58.25,62.25,106.75,110,30,0.25,0.5,10,7,,,15,,12,11,5,6,0.25,0.5,11,,0.5,,,,,,,0.5,,,,,0.25,,,,,0.25,,,,,,,,,
