year,location,date,time_start,time_end,gradient_number,plot,soil_temp,soil_moist,PAR_below,PAR_above
2021,TB,6/30/21,10am,11:20am,1,1,31.4,6.6,1585,1718
2021,TB,6/30/21,10am,11:20am,1,11,31.1,6.5,1519,1696
2021,TB,6/30/21,10am,11:20am,1,21,31.6,8.9,1390,1686
2021,TB,6/30/21,10am,11:20am,1,31,30.7,10.6,1256,1688
2021,TB,6/30/21,10am,11:20am,1,41,30.8,8.6,1306,1699
2021,TB,6/30/21,10am,11:20am,2,2,32.4,32.2,1595,1738
2021,TB,6/30/21,10am,11:20am,2,12,32.4,29.1,1647,1770
2021,TB,6/30/21,10am,11:20am,2,22,32.3,31.7,1651,1725
2021,TB,6/30/21,10am,11:20am,2,32,32.3,29.9,1516,1754
2021,TB,6/30/21,10am,11:20am,2,42,32.2,30.2,1443,1757
2021,TB,6/30/21,10am,11:20am,3,3,31.9,21.4,1590,1721
2021,TB,6/30/21,10am,11:20am,3,13,31.6,17.1,1563,1738
2021,TB,6/30/21,10am,11:20am,3,23,31.8,22.9,1292,1716
2021,TB,6/30/21,10am,11:20am,3,33,31.9,30,1525,1737
2021,TB,6/30/21,10am,11:20am,3,43,31.8,29.4,981,1688
2021,TB,6/30/21,10am,11:20am,4,4,31.5,10.2,1656,1733
2021,TB,6/30/21,10am,11:20am,4,14,31.9,8.2,1724,1789
2021,TB,6/30/21,10am,11:20am,4,24,31.8,5.6,1542,1705
2021,TB,6/30/21,10am,11:20am,4,34,31.6,5.9,1604,1735
2021,TB,6/30/21,10am,11:20am,4,44,31.5,12.6,1593,1780
2021,TB,6/30/21,10am,11:20am,5,5,26,7.5,1461,1498
2021,TB,6/30/21,10am,11:20am,5,15,24.9,10.8,1275,1418
2021,TB,6/30/21,10am,11:20am,5,25,24.5,12.1,1217,1466
2021,TB,6/30/21,10am,11:20am,5,35,25.6,11.2,1251,1404
2021,TB,6/30/21,10am,11:20am,5,45,24,12.1,1061,1414
2021,TB,6/30/21,10am,11:20am,6,6,26.8,8.5,1378,1508
2021,TB,6/30/21,10am,11:20am,6,16,27.6,11.2,1233,1446
2021,TB,6/30/21,10am,11:20am,6,26,27.8,13.9,1270,1429
2021,TB,6/30/21,10am,11:20am,6,36,28,12.9,1263,1464
2021,TB,6/30/21,10am,11:20am,6,46,27.2,8.5,1009,1492
2021,TB,6/30/21,10am,11:20am,7,7,30.9,15.9,1490,1552
2021,TB,6/30/21,10am,11:20am,7,17,31.1,17.8,1306,1515
2021,TB,6/30/21,10am,11:20am,7,27,31.1,15,1297,1516
2021,TB,6/30/21,10am,11:20am,7,37,31.2,19.1,1275,1536
2021,TB,6/30/21,10am,11:20am,7,47,30,15.5,1261,1509
2021,TB,6/20/21,10am,11:20am,8,8,31.2,16.4,1360,1589
2021,TB,6/30/21,10am,11:20am,8,18,31.4,22.7,1471,1609
2021,TB,6/30/21,10am,11:20am,8,28,31.1,12.8,1186,1598
2021,TB,6/30/21,10am,11:20am,8,38,31.2,19.7,1169,1588
2021,TB,6/30/21,10am,11:20am,8,48,31.1,13.7,1326,1585
2021,TB,6/30/21,10am,11:20am,9,9,32,9.6,1333,1621
2021,TB,6/30/21,10am,11:20am,9,19,32.6,11,1474,1639
2021,TB,6/30/21,10am,11:20am,9,29,31.8,11.6,1380,1603
2021,TB,6/20/21,10am,11:20am,9,39,32.2,15.5,1387,1618
2021,TB,6/30/21,10am,11:20am,9,49,31.9,11.6,1258,1618
2021,TB,6/30/21,10am,11:20am,10,10,32.3,10.9,1593,1659
2021,TB,6/30/21,10am,11:20am,10,20,32,13.2,902,1645
2021,TB,6/30/21,10am,11:20am,10,30,31.9,11.1,1122,1643
2021,TB,6/30/21,10am,11:20am,10,40,32.3,18.3,1260,1625
2021,TB,6/30/21,10am,11:20am,10,50,32.2,18.7,1380,1666
