location,year,date,gradient_number,plot,aerial_basal,estimated_total,added_total,rock,dung,moss,lichen,mushroom,litter,bareground,final_total,ARPU,BOGR,BRAR,BRTE,HECO,KOMA,PASM,VUOC,CADU,CAFI,ARFR,ARTR,COVI,OPPO,ALTE,ALDE,ANOC,ANPA,CAMI,COUM,COCA,ERHO,HEHI,LASE,LEDE,LOAR,LOFO,MILI,MUDI,PHHO,PLPA,POAV,PSTE,SPCO,TAOF,TRDU,VIAM,ARCA,LIIN,JUTE_2020,POSE,OESU
TB,2021,6/28/2021,7,47,aerial,36,40.5,,,,0.5,,50,10,101,,2,7,3,,10,3,,2,,12,,,,,0.25,,,,,,,,,,,,,,,0.25,,,1,,,,,,,,
TB,2021,6/28/2021,7,7,aerial,42,44.75,3,0.5,0.25,8,,5,42,103.5,,20,2,,1,8,2,0.25,2,,3,0.5,,,,0.5,,0.5,,,,4,,,,0.5,,,,,0.25,,,0.5,,,,,,,,
TB,2021,6/28/2021,7,17,aerial,45,48.5,,1,,5,,25,20,99.5,,9,7,0.25,,11,5,,3,,8,,,,,0.25,,,,,,,,,,0.25,,,,,0.25,,,0.5,,,,,,,4,
TB,2021,6/28/2021,7,27,aerial,34,31,,15,,5,,28,20,99,,8,7,1,,10,3,0.25,,,,,,,,0.25,,,,,,,,,,0.25,,,,,0.25,,,1,,,,,,,,
TB,2021,6/28/2021,7,37,aerial,43,44.25,,0.25,,3,,30,20,97.5,,12,11,2,,8,3,0.25,,,,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
TB,2021,6/28/2021,8,28,aerial,30,31.5,,6,2,5,,29,25,98.5,,10,7,0.25,,5,4,,2,,,,,3,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
TB,2021,6/28/2021,8,8,aerial,40,39.5,7,0.5,,9,,8,38,102,,25,0.5,,,7,5,,,,,,,,,0.25,,,,,,,,,,0.25,,,,,0.5,,,1,,,,,,,,
TB,2021,6/28/2021,8,48,aerial,50,49.75,,0.25,,,,40,12,102,,5,13,0.5,,7,4,0.25,2,,,,,17,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,
TB,2021,6/28/2021,8,18,aerial,38,37,3,4,,4,,18,30,96,,12,7,2,,9,4,,1,,,,,,,0.5,,,,,,,,,,0.25,,,,,0.5,,,0.5,,,,,,,,
TB,2021,6/28/2021,8,38,aerial,47,50.5,,5,,,,25,20,100.5,,7,19,3,,8,3,,6,,,,,,,,,,,,,,,,,0.25,,,,,0.25,,,4,,,,,,,,
TB,2021,6/28/2021,5,45,aerial,45,48,0,0,0,0,0,30,20,98,,8,,27,3,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TB,2021,6/28/2021,5,25,aerial,30,32.25,0,5,0,0.25,0,22,42,101.5,,5,1,9,4,3,2,,1,7,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
