year,location,date,gradient_number,plot,soil_temp,high_clay_soil_moist,soil_moist,humidity,air_temp,PAR_time,PAR_below,PAR_above
2019,TB,7/25/19,1,1,39.7,3.8,3.5,22,38.6,1:33,1712,1884
2019,TB,7/25/19,1,11,39.3,5.5,5.9,23,38.5,1:30,1373,1871
2019,TB,7/25/19,1,21,39.7,5.8,6.4,20,37.9,1:35,1692,1917
2019,TB,7/25/19,1,31,39.7,4.2,4.2,23,39.6,1:39,1383,1869
2019,TB,7/25/19,1,41,39.6,5.7,6.2,25,39.1,1:37,933,1943
2019,TB,7/25/19,2,2,43.4,18.9,25.9,14,44,2:02,1661,1883
2019,TB,7/25/19,2,12,43.2,11.5,15.2,16,42.1,2:01,1663,1852
2019,TB,7/25/19,2,22,43.6,20.7,28.4,15,43.2,2:03,1661,1853
2019,TB,7/25/19,2,32,42.1,10,12.8,11,39.8,2:10,1513,1871
2019,TB,7/25/19,2,42,43,12.3,16,13,41.1,2:07,1017,1840
2019,TB,7/25/19,3,3,42.6,15.2,20.4,22,41,1:49,1788,1885
2019,TB,7/25/19,3,13,40.5,6.2,7,19,40.6,1:44,1754,1885
2019,TB,7/25/19,3,23,41.6,5.7,6.3,21,39.1,1:47,1460,1903
2019,TB,7/25/19,3,33,42.8,9.2,11.6,17,40.1,1:52,1227,1904
2019,TB,7/25/19,3,43,43.4,9,11.1,21,41.6,1:54,741,1921
2019,TB,7/25/19,4,4,44.1,5,5.3,10,43.2,2:24,1768,1820
2019,TB,7/25/19,4,14,42.5,4.6,4.6,12,39.1,2:14,1544,1818
2019,TB,7/25/19,4,24,42.9,4.2,4.1,17,39.8,2:17,1515,1826
2019,TB,7/25/19,4,34,43.8,3.6,3.2,17,42.5,2:19,1597,1849
2019,TB,7/25/19,4,44,44.3,8,9.7,14,42.5,2:21,761,1840
2019,TB,7/25/19,5,5,42.8,4.2,4.1,23,38,12:17,1729,1816
2019,TB,7/25/19,5,15,42.6,5.7,6.4,20,39.9,12:20,1433,1866
2019,TB,7/25/19,5,25,42.8,6.1,6.9,34,35.2,12:15,1215,1829
2019,TB,7/25/19,5,35,43.1,4.8,4.9,27,37,12:15,1248,1917
2019,TB,7/25/19,5,45,41.8,5.5,6.1,29,37.1,12:08,1325,1876
2019,TB,7/25/19,6,6,42.1,5.2,5.6,17,40.7,12:22,1808,1877
2019,TB,7/25/19,6,16,42,5.4,5.8,15,38.5,12:30,1568,1879
2019,TB,7/25/19,6,26,41.9,4.7,4.9,16,39.4,12:28,1106,1864
2019,TB,7/25/19,6,36,41.8,5.5,6,15,39.2,12:26,881,1738
2019,TB,7/25/19,6,46,41.7,3.7,3.3,15,40.4,12:24,680,1872
2019,TB,7/25/19,7,7,40.5,7.5,8.9,16,39.4,12:35,1775,1853
2019,TB,7/25/19,7,17,40.3,8,9.7,15,39.2,12:34,1648,1913
2019,TB,7/25/19,7,27,40.2,9.1,11.3,15,39.8,12:36,1535,1884
2019,TB,7/25/19,7,37,40.2,9.4,11.7,16,40,12:38,1488,1923
2019,TB,7/25/19,7,47,40.4,13.1,17.4,16,38.7,12:32,1074,1902
2019,TB,7/25/19,8,8,40,6.5,7.3,15,40,12:40,1776,1943
2019,TB,7/25/19,8,18,40.6,12.2,16,14,42.8,12:48,1723,1907
2019,TB,7/25/19,8,28,40.1,7.9,9.5,14,40.8,12:41,1572,1926
2019,TB,7/25/19,8,38,40.3,12.1,15.7,15,41.3,12:45,916,1933
2019,TB,7/25/19,8,48,40.4,5.7,6.2,13,40.8,12:44,1085,1941
2019,TB,7/25/19,9,9,41.1,5.1,5.5,11,40.9,12:58,1769,1954
2019,TB,7/25/19,9,19,40.7,5.4,5.8,20,41.9,12:53,1480,1950
2019,TB,7/25/19,9,29,40.8,5.7,6.2,11,41.7,12:56,1393,1922
2019,TB,7/25/19,9,39,40.3,6.8,7.9,14,41.9,12:51,1145,1932
2019,TB,7/25/19,9,49,40.6,8.2,9.9,14,41.8,12:54,1301,1918
2019,TB,7/25/19,10,10,38.4,4.1,4,16,38.3,1:05,1839,1941
2019,TB,7/25/19,10,20,38.3,6.4,7.4,16,38.9,1:07,1465,1910
2019,TB,7/25/19,10,30,38.3,9.3,11.6,15,39,1:08,720,1980
2019,TB,7/25/19,10,40,38.2,11.3,14.5,15,39,1:10,977,1921
2019,TB,7/25/19,10,50,38,10,12.6,13,38.4,1:13,473,1882
