location,year,date,gradient_number,plot,aerial_basal,est_tot_cov,field_added_tot_cov,excel_added_tot_cov,field_other_tot_cov,excel_other_tot_cov,bare,dung,lichen,litter,moss,rock,ARPU,BOGR,BRAR,BRTE,HECO,KOMA,PASM,VUOC,CADU,CAFI,ARFR,ARTR,OPPO,ALTE,ALDE,ANPA,CAMI,COCA,COUM,HEHI,LASE,LEDE,LOAR,MILI,MUDI,POAV,PHHO,PLPA,PSTE,SPCO,TAOF,TRDU,VIAM
TB,2019,7/22/19,1,11,aerial,60,56.5,56.5,97.5,97.5,22,1,3,15,0,0,1,35,0,4,1,3,3,0.5,1,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0.25,0,0.25,0,0.5,0,0,0
TB,2019,7/22/19,1,11,basal,45,43,43,95,95,36,1,3,12,0,0,0.5,33,0,1,0.5,1,1,0.25,0.5,0,1,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0.25,0,0.25,0,0,0
TB,2019,7/22/19,1,1,aerial,55,52.5,52.5,97.5,97.5,28,0,5,12,0,0,0,40,0,0.25,0,5,3,1,2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0.25,0,0.25,0,0,0
TB,2019,7/22/19,1,1,basal,45,43.5,43.5,96.5,95.5,35,0,7,10,0,0,0,38,0,0.25,0,2,1,0.25,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0
TB,2019,7/22/19,1,21,aerial,70,71.75,71.75,101.75,101.75,15,0,1,10,3,1,0,45,0,6,0,4,2,1,2,0,2,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.25,0,0.5,0,0,0
TB,2019,7/22/19,1,21,basal,58,55.75,55.75,100.75,100.75,23,0,1,14,5,2,0,42,0,2,0,3,1,0.25,0.5,0,1,0,5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0.25,0,0,0
TB,2019,7/22/19,1,41,aerial,80,79.5,79.25,95.75,95.5,10,0,0.25,6,0,0,0,3,0,60,0,0,0.5,0,2,0,4,9,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0
TB,2019,7/22/19,1,41,basal,60,59.25,59.25,97.5,97.5,30,0,0.25,8,0,0,0,2,0,43,0,0,0.25,0,0.5,0,3,10,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0
TB,2019,7/22/19,1,31,aerial,45,44.25,38.25,96.25,90.25,31,2,0.5,13,0.5,5,0,8,0,18,0,0,1,0.25,1,6,0.25,0,2,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0
TB,2019,7/22/19,1,31,basal,26,25,25,96,108,55,3,0.5,16,0.5,8,0,7,0,10,0,0,0.25,0.25,0.25,4,0.25,0,2,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0
TB,2019,7/22/19,2,2,aerial,45,43.25,42.25,97.5,96.5,25,0.25,9,5,0,15,0,27,1,0,0,5,3,0.25,2,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0.25,0,0.5,0.25,0,0,0.25,0,2
TB,2019,7/22/19,2,2,basal,30,29.75,29.75,100,100,32,0.25,11,7,0,20,0,23,0.25,0,0,2,1,0.25,1,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0,0.5,0.25,0,0,0.25,0,0.5
TB,2019,7/22/19,2,12,aerial,52,50.75,50.75,101.25,101.25,26,0.5,7,12,0,5,0,33,4,0,0,4,3,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,2,0,3,0,0,0,0,0,0,0,1
TB,2019,7/22/19,2,12,basal,40,37,37,96,96,32,1,9,10,0,7,0,30,1,0,0,3,1,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.25
TB,2019,7/23/19,2,32,aerial,57,56.75,56.75,95.75,95.75,14,1,5,16,0,3,0,35,8,0,0,3,4,0,1,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,3,0,0.5,0.25,0,0.25,0,0,0.25,0,1
